Sustancia;Hf° (298K);A;B;C;D;;;
CH4;-74520;1.702;9.081;-2.164;0;;;
C2H6;-83820;1.131;19.225;-5.561;0;;;
C3H8;-104680;1.213;28.785;-8.824;0;;;
C4H10;-125790;1.935;36.915;-11.402;0;;;
C4H10;-125790;1.677;37.853;-11.945;0;;;
C5H12;-146700;2.464;45.351;-14.111;0;;;
C6H14;-166920;3.025;53.722;-16.791;0;;;
C7H16;-187780;3.57;62.127;-19.486;0;;;
C8H18;-208750;4.108;70.567;-22.208;0;;;
C2H4;52510;1.424;14.394;-4.392;0;;;
C3H6;19710;1.637;22.706;-6.915;0;;;
C4H8;-540;1.967;31.63;-9.873;0;;;
C5H10;-21280;2.691;39.753;-12.447;0;;;
C6H12;-41950;3.22;48.189;-15.157;0;;;
C7H14;-62760;3.768;56.588;-17.847;0;;;
C8H16;59500;4.324;64.96;-20.521;0;;;
C2H4O;-166190;1.693;17.978;-6.158;0;;;
C2H2;227480;6.132;1.952;0;-1.299;;;
C6H6;82930;-0.206;39.064;-13.301;0;;;
C4H6;109240;2.734;26.786;-8.882;0;;;
C6H12;-123140;-3.876;63.249;-20.928;0;;;
C2H6O;-235100;3.518;20.001;-6.002;0;;;
C8H10;29920;1.124;55.38;-18.476;0;;;
C2H4O;-52630;-0.385;23.463;-9.296;0;;;
CH2O;-108570;2.264;7.022;-1.877;0;;;
CH4O;-200660;2.211;12.216;-3.45;0;;;
C8H8;147360;2.05;50.192;-16.662;0;;;
C7H8;50170;0.29;47.052;-15.716;0;;;
NH3;-46110;3.578;3.02;0;-0.186;;;
Br2;;4.493;0.056;0;-0.154;;;
CO;-110525;3.376;0.557;0;-0.031;;;
CO2;-393509;5.457;1.045;0;-1.157;;;
CS2;;6.311;0.805;0;-0.906;;;
Cl2;;4.442;0.089;0;-0.344;;;
H2;;3.249;0.422;0;-0.083;;;
H2S;-20630;3.931;1.49;0;-0.232;;;
HCl;-92307;3.156;0.623;0;0.151;;;
HCN;135100;4.736;1.359;0;-0.725;;;
N2;;3.28;0.593;0;0.04;;;
N2O;82050;5.328;1.214;0;-0.928;;;
NO;90250;3.387;0.629;0;0.014;;;
NO2;33180;4.982;1.195;0;-0.792;;;
N2O4;9160;11.66;2.257;0;-2.787;;;
O2;;3.639;0.506;0;-0.227;;;
SO2;-296830;5.699;0.801;0;-1.015;;;
SO3;-395720;8.06;1.056;0;-2.028;;;
H2O (g);-241818;3.47;1.45;0;0.121;;;
CaO;-635090;6.104;0.443;0;-1.047;;;
CaCO3;-1206920;12.572;2.637;0;-3.12;;;
Ca(OH)2;-986090;9.597;5.435;0;0;;;
CaC2;-59800;8.254;1.429;0;-1.042;;;
CaCl2;-795800;8.646;1.53;0;-0.302;;;
C;;1.771;0.771;0;-0.867;;;
Cu;;2.677;0.815;0;0.035;;;
CuO;;5.78;0.973;0;-0.874;;;
Fe;;-0.111;6.111;0;1.15;;;
Fe2O3;;11.812;9.697;0;-1.976;;;
Fe3O4;;9.594;27.112;0;0.409;;;
FeS;;2.612;13.286;0;0;;;
I2;;6.481;1.502;0;0;;;
LiCl;;5.257;2.476;0;-0.193;;;
NH4Cl;;5.939;16.105;0;0;;;
Na;;1.988;4.688;0;0;;;
NaCl;-411153;5.526;1.963;0;0;;;
NaOH;-425609;0.121;16.316;0;1.948;;;
NaHCO3;;5.128;18.148;0;0;;;
S;;4.114;-1.728;0;-0.783;;;
SiO2;;4.871;5.365;0;-1.001;;;

